iso,sentence,time_total,time_corr_abs,time_corr_perc
shi_phon,common_voice_22_0_0,7.1810,3.8030,0.5300
shi_word,common_voice_22_0_0,6.7730,4.4870,0.6620
shi_word_nostop,common_voice_22_0_0,7.8230,4.2500,0.5430
shi_phon,common_voice_22_0_1,6.9820,3.9000,0.5590
shi_word,common_voice_22_0_1,6.9140,4.5500,0.6580
shi_word_nostop,common_voice_22_0_1,7.5540,4.3800,0.5800
shi_phon,common_voice_22_0_2,5.7340,3.3900,0.5910
shi_word,common_voice_22_0_2,7.1210,4.0660,0.5710
shi_word_nostop,common_voice_22_0_2,7.5390,3.6960,0.4900
shi_phon,common_voice_22_0_3,4.6980,2.8640,0.6100
shi_word,common_voice_22_0_3,4.8610,3.4040,0.7000
shi_word_nostop,common_voice_22_0_3,4.7100,3.0990,0.6580
shi_phon,common_voice_22_0_4,5.5820,2.8670,0.5140
shi_word,common_voice_22_0_4,5.9480,3.3300,0.5600
shi_word_nostop,common_voice_22_0_4,5.4950,3.0150,0.5490
shi_phon,common_voice_22_0_5,5.2600,3.1840,0.6050
shi_word,common_voice_22_0_5,4.8450,3.7690,0.7780
shi_word_nostop,common_voice_22_0_5,5.3360,3.3360,0.6250
shi_phon,common_voice_22_0_6,5.0280,2.5420,0.5060
shi_word,common_voice_22_0_6,4.7860,3.4000,0.7100
shi_word_nostop,common_voice_22_0_6,5.1660,3.1010,0.6000
shi_phon,common_voice_22_0_7,5.8870,3.3380,0.5670
shi_word,common_voice_22_0_7,5.5670,3.7960,0.6820
shi_word_nostop,common_voice_22_0_7,5.7440,3.4660,0.6030
shi_phon,common_voice_22_0_8,4.9210,2.4870,0.5050
shi_word,common_voice_22_0_8,4.6230,3.1010,0.6710
shi_word_nostop,common_voice_22_0_8,4.3810,2.6310,0.6010
shi_phon,common_voice_22_0_9,5.2100,2.7030,0.5190
shi_word,common_voice_22_0_9,4.6400,3.3460,0.7210
shi_word_nostop,common_voice_22_0_9,4.9780,3.1060,0.6240
shi_phon,common_voice_22_0_10,4.6600,2.8210,0.6050
shi_word,common_voice_22_0_10,4.3400,3.2790,0.7560
shi_word_nostop,common_voice_22_0_10,4.6690,2.9790,0.6380
shi_phon,common_voice_22_0_11,4.8480,2.8060,0.5790
shi_word,common_voice_22_0_11,4.5500,3.3930,0.7460
shi_word_nostop,common_voice_22_0_11,4.9930,3.1710,0.6350
shi_phon,common_voice_22_0_12,4.5800,2.8800,0.6290
shi_word,common_voice_22_0_12,3.6200,3.2590,0.9000
shi_word_nostop,common_voice_22_0_12,4.4800,3.0690,0.6850
shi_phon,common_voice_22_0_13,5.4230,2.3880,0.4400
shi_word,common_voice_22_0_13,5.7860,2.7180,0.4700
shi_word_nostop,common_voice_22_0_13,5.0070,2.2380,0.4470
shi_phon,common_voice_22_0_14,4.6100,2.8570,0.6200
shi_word,common_voice_22_0_14,3.9800,3.3020,0.8300
shi_word_nostop,common_voice_22_0_14,4.0500,2.9020,0.7170
shi_phon,common_voice_22_0_15,5.2910,2.4010,0.4540
shi_word,common_voice_22_0_15,5.4640,3.0230,0.5530
shi_word_nostop,common_voice_22_0_15,4.9050,2.7600,0.5630
shi_phon,common_voice_22_0_16,4.6490,2.7860,0.5990
shi_word,common_voice_22_0_16,5.8800,3.4530,0.5870
shi_word_nostop,common_voice_22_0_16,5.5170,3.1530,0.5720
shi_phon,common_voice_22_0_17,4.7770,2.4860,0.5200
shi_word,common_voice_22_0_17,5.5980,2.8040,0.5010
shi_word_nostop,common_voice_22_0_17,5.1190,2.5350,0.4950
shi_phon,common_voice_22_0_18,4.7140,1.7850,0.3790
shi_word,common_voice_22_0_18,5.1680,2.2780,0.4410
shi_word_nostop,common_voice_22_0_18,4.6140,2.1580,0.4680
shi_phon,common_voice_22_0_19,4.3000,2.5510,0.5930
shi_word,common_voice_22_0_19,3.8000,3.1750,0.8360
shi_word_nostop,common_voice_22_0_19,4.3500,2.8300,0.6510
tzm_phon,common_voice_22_0_1,3.7490,1.9080,0.5090
tzm_word,common_voice_22_0_1,4.5190,2.2490,0.4980
tzm_word_nostop,common_voice_22_0_1,3.8090,1.8890,0.4960
tzm_phon,common_voice_22_0_2,3.2640,1.6110,0.4940
tzm_word,common_voice_22_0_2,3.1030,1.9200,0.6190
tzm_word_nostop,common_voice_22_0_2,3.2930,1.7300,0.5250
tzm_phon,common_voice_22_0_3,4.0510,2.0210,0.4990
tzm_word,common_voice_22_0_3,3.9620,2.5100,0.6340
tzm_word_nostop,common_voice_22_0_3,3.6270,2.2300,0.6150
tzm_phon,common_voice_22_0_4,3.6640,1.4230,0.3880
tzm_word,common_voice_22_0_4,4.0950,1.6510,0.4030
tzm_word_nostop,common_voice_22_0_4,3.8920,1.5710,0.4040
tzm_phon,common_voice_22_0_6,3.4080,0.8970,0.2630
tzm_word,common_voice_22_0_6,4.4380,1.0600,0.2390
tzm_word_nostop,common_voice_22_0_6,3.1780,1.0600,0.3340
tzm_phon,common_voice_22_0_7,2.6350,0.9260,0.3510
tzm_word,common_voice_22_0_7,3.1630,1.1300,0.3570
tzm_word_nostop,common_voice_22_0_7,2.4630,0.9800,0.3980
tzm_phon,common_voice_22_0_8,2.2660,0.3330,0.1470
tzm_word,common_voice_22_0_8,2.2100,0.4700,0.2130
tzm_word_nostop,common_voice_22_0_8,1.5970,0.4500,0.2820
tzm_phon,common_voice_22_0_9,1.7490,0.9190,0.5250
tzm_word,common_voice_22_0_9,2.0870,1.1870,0.5690
tzm_word_nostop,common_voice_22_0_9,1.9860,1.1270,0.5670
tzm_phon,common_voice_22_0_10,2.8430,1.2460,0.4380
tzm_word,common_voice_22_0_10,3.0110,1.5800,0.5250
tzm_word_nostop,common_voice_22_0_10,2.8310,1.4800,0.5230
tzm_phon,common_voice_22_0_11,1.9910,1.0240,0.5140
tzm_word,common_voice_22_0_11,2.3210,1.3100,0.5640
tzm_word_nostop,common_voice_22_0_11,2.1910,1.1900,0.5430
tzm_phon,common_voice_22_0_12,1.4750,0.4760,0.3230
tzm_word,common_voice_22_0_12,1.6900,0.7780,0.4600
tzm_word_nostop,common_voice_22_0_12,1.6030,0.6800,0.4240
tzm_phon,common_voice_22_0_13,2.1980,0.3600,0.1640
tzm_word,common_voice_22_0_13,2.5380,0.6310,0.2490
tzm_word_nostop,common_voice_22_0_13,1.6110,0.4810,0.2990
tzm_phon,common_voice_22_0_14,1.8360,0.5130,0.2790
tzm_word,common_voice_22_0_14,1.4410,0.6840,0.4750
tzm_word_nostop,common_voice_22_0_14,1.5560,0.6800,0.4370
tzm_phon,common_voice_22_0_15,1.3500,0.1150,0.0850
tzm_word,common_voice_22_0_15,0.8300,0.2170,0.2610
tzm_word_nostop,common_voice_22_0_15,0.7980,0.2170,0.2720
tzm_phon,common_voice_22_0_16,1.9930,0.2710,0.1360
tzm_word,common_voice_22_0_16,1.7670,0.3500,0.1980
tzm_word_nostop,common_voice_22_0_16,1.7670,0.3500,0.1980
tzm_phon,common_voice_22_0_17,1.4810,0.4280,0.2890
tzm_word,common_voice_22_0_17,1.8870,0.7870,0.4170
tzm_word_nostop,common_voice_22_0_17,1.7840,0.7570,0.4240
